,0,text,2,toxic
1,facebook_corpus_msr_466073,"Most of Private Banks ATM's Like HDFC, ICICI etc are out of cash. Only Public sector bank's ATM working",NAG,0
4,facebook_corpus_msr_1521685,"??we r against cow slaughter,so of course it will stop leather manufacturing if it happens.",NAG,0
6,facebook_corpus_msr_465051,How does inflation react to all the after shocks of this demon...?,NAG,0
8,facebook_corpus_msr_326287,This is a false news Indian media is simply misguiding there nation and creating hatred..Media should be v careful while spreading the news..SHAME.:(,NAG,0
9,facebook_corpus_msr_430450,"no permanent foes, no permanent friends. interest is permanent !",NAG,0
10,facebook_corpus_msr_1804887,"Deepak Kumar Sharma Saab...chalo aap ki Ye baat ek baar mann li...Now whatever pm Saab has talked about in 2014...Kya kya Kia us main...He is just a campaigner of BJP nothing else,ek cheez bta do.... but he is implementing all the bills which he opposed before 2014.. Example- FDI,GST and list is long...",NAG,0
12,facebook_corpus_msr_470188,"Why you guys counter the modi govt decisions, its fact there is black money cleanup stand taken ... so many discussions on news channel, individuals meetings 
Why so much of efforts made by media and make people scared and provoke",NAG,0
14,facebook_corpus_msr_405837,"No 
Same acting ll be there .. 
but we ll watch no option !!!
😬😜",NAG,0
15,facebook_corpus_msr_482226,"Happy Diwali.!!let's wish the next one year health,wealth n growth to our Indian economy.",NAG,0
16,facebook_corpus_msr_439533,Lolz... He said he is gonna employ large number of people in cyber security sector.. are you gonna employ illiterates in that profile..????,NAG,0
20,facebook_corpus_msr_461000,"Now nifty above 20 day moving average, what next 50 day moving average 8359",NAG,0
21,facebook_corpus_msr_1429853,Good to see when their in no terrror in pak and afgan and india as well so in can for development  step,NAG,0
22,facebook_corpus_msr_331246,"First of all,there is no gaurakshak in assam.the villagers beaten those two thieves...these things happen,when thieves try to steal the only property farmers have.",NAG,0
25,facebook_corpus_msr_464500,"Once upon a time Bengal/ Kolkata was most prosperous states in India. Now it is compared with Bihar/ Odisa. Wake up Mitra. Use your knowledge to help Bengal, rather than delivering stupid lecture.",NAG,0
